university_name,TEXT,sentiment,KEYWORDS
Delft University of Technology,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Delft University of Technology,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
University of Liverpool,very interesting provided a tour bus  students were very helpful on the open day very clean  tidy,POSITIVE,"tidy, clean, day, open, helpful"
University of Liverpool,i am a graduate of lpool and i have great experience for the people and community even studying in pandemic period what is the campus closed,POSITIVE,"closed, campus, period, pandemic, studying"
University of Liverpool,original red brick building   university of liverpool one of the best memories i have ever had in my life eventually coming to this city was not a bad call friends people from different background different culture and different racereligion all under one roof as a city  enjoy your college life you will get it back ever again if u wanna relive it i guess now is the time dont neglect studies as well   ,POSITIVE,"studies, neglect, dont, time, guess"
University of Liverpool,university of liverpool uol known as the uni of and the original red brick university since  situated in the heart of the knowledge quarter close to the university hospital liverpool the clatterbridge cancer centre the liverpool school of tropical medicine and the liverpool metropolitan cathedral the uni of plays a major part in the fabric of one of the most cosmopolitan vibrant exciting and friendly cities in the uk a city perfect for students,NEUTRAL,"students, perfect, city, uk, cities"
University of Liverpool,fabulous new buikding accessible car parking staff very friendly i have attended st johns eye clinic there was a young lady ada who was politely and very friendly,POSITIVE,"politely, ada, lady, young, clinic"
University of Liverpool,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
University of Liverpool,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Liverpool,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
University of Liverpool,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Liverpool,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Liverpool,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Liverpool,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Liverpool,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Liverpool,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Liverpool,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Washington,the university boasts an impressive and large campus the buildings are well maintained and the campus is very clean and pleasant there are many communal areas and plenty of different study spaces overall great learning environment,POSITIVE,"environment, learning, great, overall, spaces"
University of Washington,what a stunning sophisticated campus when i visited this university i had a sudden urge to transfer here as an university i love the design of the ancient buildings and the fountain and lovely herds of geese although they were a lot of bird poops lol i would like to visit here again when it is cherry blossom season,POSITIVE,"season, blossom, cherry, visit, like"
University of Washington,the university of washington is one of the best universities around i did not attend the school but have gone there to listen to lectures on how to become a physician assistant pa i also attended the washington motorcycle safety training on the campus parking lot the university is huge and beautiful  the university has a nice stadium on the southeast corner of the campus in addition the liberal arts quadrangle better known as the quad is my favorite place to visit at the university there are beautiful tall buildings there surrounding cherry blossoms trees  what else peaceful beautiful scenery of the students walking i love the university of washington,POSITIVE,"love, walking, students, scenery, peaceful"
University of Washington,top tier education in computer  social sciences with a beautiful campus that has the footprint of a large town uw is a landmark to visit people flock by the thousands to view the cherry blossoms around april  there are tours available so look on the site to find a guide if youre not comfortable with exploring on your own check out the drumheller fountain red square by george  of course the quad with the cherry blossoms go dawgs  midas stars  for the beautiful landmarks,POSITIVE,"landmarks, stars, midas, dawgs, quad"
University of Washington,beautiful wellkept campus the cherry blossoms are spectacular there is a lot of interesting architecture we enjoyed the museum as well,POSITIVE,"museum, enjoyed, architecture, interesting, lot"
University of Washington,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
University of Washington,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Washington,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Washington,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Washington,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Washington,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Washington,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Washington,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Washington,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Washington,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
Johns Hopkins University,a beautiful campus and hospitality place we had an appointment there and ate on site in their cafeteria,POSITIVE,"cafeteria, site, ate, appointment, place"
Johns Hopkins University,good academics interesting urban setting convenient coastal location,POSITIVE,"location, coastal, convenient, setting, urban"
Johns Hopkins University,what a beautiful green and serene campus this is the exposed brickwork complemented with roman style of architecture makes it marvellous americas first research university that boasts of  nobel laureates johns hopkins truly is an epitome of beauty with brains,POSITIVE,"brains, beauty, epitome, truly, hopkins"
Johns Hopkins University,drove the campus of johns hopkins university in an effort to find the world renowned medical school the campus is quite dispersed and the drive to the edward d miller research building johns hopkins school of medicine was through not the most affluent neighborhood so it was in quite a contrast with the school was hoping id be more impressed with parts of the campus that i saw,NEUTRAL,"saw, parts, impressed, id, hoping"
Johns Hopkins University,a world renowned university and medical system on a beautiful campus that is always clean and well maintained the campus both the university and medical campus are situated in areas where petty crime can be an issue so always be vigilant but the university has extensive campus security and campus police on patrol its such a great campus and a great place to work or learn,POSITIVE,"learn, work, place, great, patrol"
Johns Hopkins University,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
Johns Hopkins University,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Johns Hopkins University,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Johns Hopkins University,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
Johns Hopkins University,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Johns Hopkins University,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Johns Hopkins University,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
Johns Hopkins University,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
Johns Hopkins University,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
Johns Hopkins University,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Columbia University,one of my favorite aspects of columbia is its location in new york city the university is situated in the heart of manhattan surrounded by some of the best restaurants museums and cultural attractions in the world its the perfect place to experience the vibrancy of city life while also pursuing your academic goals  overall i highly recommend columbia university to anyone who is seeking a topnotch education a supportive community and a vibrant city experience,POSITIVE,"vibrant, community, supportive, education, topnotch"
Columbia University,columbia university is an excellent institution that provides students with a topnotch education the professors are highly knowledgeable and passionate about their subjects and the curriculum is challenging and engaging the campus is beautiful and offers a wide range of resources and opportunities for students to get involved in research clubs and extracurricular activities overall columbia university is a fantastic choice for any student looking to receive a worldclass education and gain valuable experiences that will prepare them for success in their future careers,POSITIVE,"careers, future, success, prepare, experiences"
Columbia University,columbia university is a stunning campus that is steeped in history and tradition from the moment you step onto its grounds you are struck by the beauty of the architecture and the natural surroundings the campus is sprawling with lush green spaces modern buildings and historic landmarks  the faculty are worldrenowned experts in their fields and the curriculum is challenging and thoughtprovoking the university also provides an abundance of extracurricular activities and resources including clubs sports teams and research programs  one of my favorite aspects of columbia is its location in new york city the university is situated in the heart of manhattan surrounded by some of the best restaurants museums and cultural attractions in the world its the perfect place to experience the vibrancy of city life while also pursuing your academic goals  overall i highly recommend columbia university to anyone who is seeking a topnotch education a supportive community and a vibrant city experience,POSITIVE,"vibrant, community, supportive, education, topnotch"
Columbia University,working almost every day with the college  is a good experience since you get to meet students from all over the world  and interact with them  very nice kids well educated and good manner allways willing to help us in anything with need like open doors where we need a key with dont have  buy they know us  bravo nice environment   ,POSITIVE,"environment, bravo, know, buy, dont"
Columbia University,this is the best school with great professors the beautiful campus and the art works all over the campus are must see,POSITIVE,"works, art, campus, beautiful, professors"
Columbia University,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
Columbia University,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
Columbia University,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Columbia University,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Columbia University,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
Columbia University,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
Columbia University,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
Columbia University,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
Columbia University,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
Columbia University,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
Northwestern University,stepping onto the campus of northwestern university was a truly remarkable experience that left an indelible impression on me the fusion of academic excellence and vibrant student life was immediately palpable as i navigated the picturesque pathways engaging with students and faculty i was struck by the palpable atmosphere of intellectual curiosity and collaboration that permeated every corner the modern facilities and cuttingedge research centers underscored northwesterns commitment to pushing boundaries and fostering innovation amidst this dynamic environment the serene beauty of lake michigan provided a serene backdrop offering a serene balance to the bustling energy of campus life my visit to northwestern was a journey of inspiration leaving me with a deep appreciation for the universitys rich academic legacy and its unwavering dedication to shaping the leaders of tomorrow,POSITIVE,"tomorrow, leaders, shaping, dedication, unwavering"
Northwestern University,great school at an executive training program for transportation the campus is absolutely beautiful and the lake view is fantastic  photos near kellogg business school and n backside near lake michigan,POSITIVE,"michigan, backside, business, kellogg, near"
Northwestern University,this summer sunshine golden beach and surfing people gave me an illusion that northwestern university has a campus towards the vast ocean but in fact it just next to the michigan lake when i came here in the early morning this beautiful campus was in tranquility and peace some people playing beach volleyball and sand statues some surfing and sailing yes its just one plain day but also one perfect day perfect campus,POSITIVE,"perfect, day, plain, yes, sailing"
Northwestern University,amazingly beautiful campus on lake michigan great mix of old and modern buildings good dining options lots of bike racks,POSITIVE,"racks, bike, lots, options, dining"
Northwestern University,top class and globally competitive graduate and post graduate education provided  high value research in arts humanities and sciences the quality of people facilities and outputs speak,NEUTRAL,"speak, outputs, facilities, people, quality"
Northwestern University,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
Northwestern University,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
Northwestern University,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Northwestern University,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Northwestern University,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
Northwestern University,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
Northwestern University,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Northwestern University,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Northwestern University,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
Northwestern University,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Glasgow,take a couple of hours to visit this campus a great walk in a vibrant part of glasgow with a park and a river running through it the iconic central building and numerous places to relax it is well connected to the city center by bus,POSITIVE,"bus, center, city, connected, relax"
University of Glasgow,the campus boasts stunning architecture with the main building standing out as a true masterpiece inside you will find free museums open study spaces cafes a harmonious blend of historic and contemporary structures the university is unquestionably a mustvisit place in glasgow,POSITIVE,"glasgow, place, mustvisit, unquestionably, university"
University of Glasgow,studying at glasgow university was a memorable experience for me even though i missed the chance to wear a gown and toss a cap due to the pandemic situation i mean i did get my degree via the post office and it hasnt served me much maybe that was sign  glasgow university is not only beautiful but also friendly i have travelled a lot in europe and the world and i can say that glasgow is on my top  friendliest and nicest cities to live in  the university has some modern facilities but i was more drawn to the old buildings that have a lot of history and charm the university also has a great vibe for learning and growing however i wish that universities not just this one would do more to help students who are new to the country or the campus feel less lonely unless they prefer solitude it can be hard for some students especially introverts to make friends and adjust to a new environment but dont worry it gets easier with time i just wish universities could speed up this process  now if you are thinking of studying there i have three pieces of advice for you  start working on your assignments early dont procrastinate because the library gets crowded on the deadline week  visit the student services if you need any support with your studies or anything else dont be shy they are there to help you  do your best but dont stress over grades in the real world most people dont care about them anyway find your balance in life my friend and above all good luck you can do it,NEUTRAL,"luck, good, friend, life, balance"
University of Glasgow,well placed buildings beautiful rivers very nice for a walk along the river sidewalks,POSITIVE,"sidewalks, river, walk, nice, rivers"
University of Glasgow,the university of glasgow holds a special appeal for both harry potter fans and science enthusiasts  for harry potter fans the universitys cloisters bear a striking resemblance to the hogwarts school of witchcraft and wizardry the gothic architecture and atmospheric corridors evoke a sense of magic making it a mustvisit location for potterheads additionally its worth noting that jk rowling the author of the harry potter series studied at the university of glasgow adding an extra layer of significance for fans  for science enthusiasts the university of glasgow has a rich scientific heritage its known for its pioneering research and contributions to various fields including physics medicine and engineering the university is home to notable scientists like lord kelvin and joseph lister whose groundbreaking work has had a significant impact on the world of science  visiting the university of glasgow offers a unique blend of magical charm and scientific legacy making it a compelling attraction for both harry potter aficionados and those passionate about the pursuit of knowledge and innovation,POSITIVE,"innovation, knowledge, pursuit, passionate, aficionados"
University of Glasgow,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Glasgow,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Glasgow,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Glasgow,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Glasgow,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
University of Glasgow,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Glasgow,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Glasgow,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Glasgow,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Glasgow,the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
University of Edinburgh,just attended a graduation at the mcewen hall an institution that stood the test of time assisting students to improve themselves with wisdom and experiences making the world a better place amazing and congratulations to each and every student that graced this space,POSITIVE,"space, graced, student, congratulations, amazing"
University of Edinburgh,univerity of edinburgh is one of the top universities in the world it is located at old college south bridge edinburgh eh yl scotland,NEUTRAL,"scotland, yl, eh, bridge, south"
University of Edinburgh,i dreamt of going here for years sad to say the university of edinburgh has no regard for students i left after  years because i couldnt stand the terrible treatment and lack of support not to mention the terrible quality of teaching for the amount of money i paid i was so mentally ill i couldnt leave my bed and i didnt go to lectures for months no one checked on me not once no emails no calls nothing  i could have died which i nearly did and they wouldnt even know they wouldnt care theyre a money hoarding bunch of tory bootlickers who are too busy investing in arms and fossil fuels than investing in their students save yourself some heartache and go elsewhere i am now at a different university living my best life opposite experience and so much happier out of this hell hole,NEGATIVE,"hole, hell, happier, experience, opposite"
University of Edinburgh,graemetrousdale  who plagiarized the whole work with elizabethtraugott yeah high academia is fake soon rip linguistics  as the work  which was plagiarized  is not close to your standard big brains are needed to do that in full rip academia rip linguistics low quality will no longer have its place in the universe the end is nigh the greatest irony is that that the editors of their book know where it is from  there is nothing easier to be fake and gamble for grants as professors copy fake as the creativity and the basal ganglia is already dead so you are no capable of more,NEGATIVE,"capable, dead, ganglia, basal, creativity"
University of Edinburgh,international online grad student here the communication and teaching quality has far surpassed the inperson experiences i have  had with my other graduate degrees their web interface for online education is streamlined well definitely recommend to other online students,POSITIVE,"students, recommend, definitely, streamlined, education"
University of Edinburgh,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Edinburgh,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Edinburgh,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
University of Edinburgh,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Edinburgh,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Edinburgh,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Edinburgh,the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
University of Edinburgh,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Edinburgh,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Edinburgh,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Alberta,very beautiful in the autumn,POSITIVE,"autumn, beautiful"
University of Alberta,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Alberta,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Alberta,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Alberta,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Alberta,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Alberta,the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
University of Alberta,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Alberta,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Alberta,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Alberta,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
University of Cambridge,a small university town known for its historic events kings college queens college and trinity college are the jewels of this campusgreat place with impressive architecture good to visit with friends and family,POSITIVE,"family, friends, visit, good, architecture"
University of Cambridge,amazing place with highly scenic picturescapes traditional river punting if you are with kids it is too much to walk so please take local bus to reach cambridge city center one way to be more comfortable,POSITIVE,"comfortable, way, center, city, cambridge"
University of Cambridge,interesting beautiful and amazing gothic architecture it was founded in  and the second oldest university in the english speaking world it certainly worth your visit,POSITIVE,"visit, worth, certainly, world, speaking"
University of Cambridge,great campus you should definitely do the punting tour tour fee adult  pound children  pound with the tour you get information from students studying at cambridge and contribute to them,POSITIVE,"contribute, cambridge, studying, students, information"
University of Cambridge,one of the most beautiful universities in the entire world what i liked a lot is that people there behave very classy but friendly,POSITIVE,"friendly, classy, behave, people, lot"
University of Cambridge,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Cambridge,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
University of Cambridge,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
University of Cambridge,i was disappointed with my experience at university the resources were lacking,NEGATIVE,"lacking, resources, university, experience, disappointed"
University of Cambridge,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
University of Cambridge,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Cambridge,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
University of Cambridge,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Cambridge,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
University of Cambridge,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
National Taiwan University (NTU),in the spring season chinese fringe trees are just blooming they are very unique tree in taiwan some suppose they are more beautiful than cherry blossoms please do enjoy them in the right days,POSITIVE,"days, right, enjoy, blossoms, cherry"
National Taiwan University (NTU),the campus in the taipei city gives people breezes of green and spaces to walk to chill and to relax plenty of eating and drinking around the campus the campus is often quite and safe  there is also a few restaurants and mc donalds on campus there are also a couple parking lots and the on campus parking with reasonable fee  ntdhour if you are alumnic you get  off ,POSITIVE,"alumnic, ntdhour, fee, reasonable, lots"
National Taiwan University (NTU),very beautiful university  open campus for visiting there are many ubike station inside and outside  its so convenient and very good to spend your late afternoon explore the campus,POSITIVE,"explore, afternoon, late, spend, good"
National Taiwan University (NTU),national taiwan university  is the most prestigious university in taiwan and is very accessible to transportation as its located in the gongguan  district of taipei city  this university counts  present and former presidents as among its notable alumni tsai ingwen ma yingjeou chen shuibian and lee tenghui,NEUTRAL,"tenghui, lee, shuibian, chen, yingjeou"
National Taiwan University (NTU),thats a vast campus area full of natural parks and beautiful landscapes when you get in ntu territory you dont quite get it is  a university at first it more looks like a botanical garden its absolutely amazing atmosphere to study here,POSITIVE,"study, atmosphere, amazing, absolutely, garden"
National Taiwan University (NTU),not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
National Taiwan University (NTU),my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
National Taiwan University (NTU),had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
National Taiwan University (NTU),had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
National Taiwan University (NTU),not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
National Taiwan University (NTU),my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
National Taiwan University (NTU),absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
National Taiwan University (NTU),my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
National Taiwan University (NTU),its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
National Taiwan University (NTU),its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
Korea Advanced Institute of Science and Technology (KAIST),well run university with super smart and dedicated professors  students are also intelligent  nice surroundings good quality of life,POSITIVE,"life, quality, good, surroundings, nice"
Korea Advanced Institute of Science and Technology (KAIST),went there for a summer school experience it was fantastic tbh the hostels are really clean nice people the food is pretty great and cheap about won to won for canteen food i usually eat at the canteen before leaving school,POSITIVE,"leaving, eat, usually, canteen, won"
Korea Advanced Institute of Science and Technology (KAIST),always a pleasant campus to stroll around the fountains  ducks and forest paths are always a treat,POSITIVE,"treat, paths, forest, ducks, fountains"
Korea Advanced Institute of Science and Technology (KAIST),im really proud to visit the most famous institute for science and technology in south korea,POSITIVE,"korea, south, technology, science, institute"
Korea Advanced Institute of Science and Technology (KAIST),id do my phd here,NEUTRAL,"phd, id"
Korea Advanced Institute of Science and Technology (KAIST),not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
Korea Advanced Institute of Science and Technology (KAIST),its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
Korea Advanced Institute of Science and Technology (KAIST),had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
Korea Advanced Institute of Science and Technology (KAIST),the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
Korea Advanced Institute of Science and Technology (KAIST),not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
Korea Advanced Institute of Science and Technology (KAIST),its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
Korea Advanced Institute of Science and Technology (KAIST),average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
Korea Advanced Institute of Science and Technology (KAIST),average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
Korea Advanced Institute of Science and Technology (KAIST),my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
Korea Advanced Institute of Science and Technology (KAIST),not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
University of Helsinki,the topranked university in finland grand buildings and situated around senate square the school is strong in social sciences such as economics and political sciences and sciences such as medicine easily accessible by train and trams,NEUTRAL,"trams, train, accessible, easily, medicine"
University of Helsinki,good for science and arts department but below average for engineering studies like the weather people are very cold and reserved a bit overrated university tampere university is better than this one,NEUTRAL,"better, tampere, university, overrated, bit"
University of Helsinki,how come greta thunberg received a doctorate without studying a thing did she paid a decent amount towards university renovations nice joke here comes the credibility of the university down the drain is it an educational institution anymore,NEUTRAL,"anymore, institution, educational, drain, credibility"
University of Helsinki,nice building  free when bringing your family receive power from fire now,POSITIVE,"power, receive, family, bringing, free"
University of Helsinki,visiting university of helsinki for an art event called lux helsinki  there was a cool installation art on campus that you can experience by yourself really recommend visiting here during the event which usually comes around the first week of january,POSITIVE,"january, week, comes, usually, recommend"
University of Helsinki,had higher expectations from university the curriculum needs a serious update,NEGATIVE,"update, needs, curriculum, university, expectations"
University of Helsinki,average experience at university nothing particularly outstanding,NEGATIVE,"outstanding, particularly, university, experience, average"
